#Coverage	Number of genomic locations
0.0	401547.0
1.0	416300.0
2.0	390340.0
3.0	334502.0
4.0	282288.0
5.0	232111.0
6.0	190346.0
7.0	158766.0
8.0	132959.0
9.0	111965.0
10.0	94940.0
11.0	80924.0
12.0	69893.0
13.0	59160.0
14.0	51419.0
15.0	43887.0
16.0	36542.0
17.0	31843.0
18.0	27312.0
19.0	23240.0
20.0	19239.0
21.0	15775.0
22.0	12693.0
23.0	10435.0
24.0	8321.0
25.0	6653.0
26.0	5034.0
27.0	4069.0
28.0	3295.0
29.0	2406.0
30.0	1779.0
31.0	1374.0
32.0	1014.0
33.0	839.0
34.0	519.0
35.0	358.0
36.0	275.0
37.0	188.0
38.0	145.0
39.0	80.0
40.0	77.0
41.0	43.0
42.0	51.0
43.0	39.0
44.0	25.0
45.0	15.0
46.0	24.0
47.0	21.0
48.0	34.0
49.0	42.0
50.0	26.0
51.0	26.0
52.0	32.0
53.0	32.0
54.0	36.0
55.0	35.0
56.0	24.0
57.0	30.0
58.0	23.0
59.0	28.0
60.0	17.0
61.0	24.0
62.0	20.0
63.0	29.0
64.0	23.0
65.0	29.0
66.0	16.0
67.0	15.0
68.0	15.0
69.0	13.0
70.0	16.0
71.0	11.0
72.0	16.0
73.0	12.0
74.0	15.0
75.0	18.0
76.0	15.0
77.0	12.0
78.0	23.0
79.0	19.0
80.0	21.0
81.0	11.0
82.0	9.0
83.0	7.0
84.0	11.0
85.0	11.0
86.0	6.0
87.0	6.0
88.0	11.0
89.0	7.0
90.0	8.0
91.0	8.0
92.0	7.0
93.0	7.0
94.0	11.0
95.0	8.0
96.0	6.0
97.0	8.0
98.0	5.0
99.0	8.0
100.0	4.0
101.0	7.0
102.0	12.0
103.0	13.0
104.0	8.0
105.0	14.0
106.0	6.0
107.0	7.0
108.0	7.0
109.0	5.0
110.0	8.0
111.0	7.0
112.0	3.0
113.0	7.0
114.0	3.0
115.0	10.0
116.0	10.0
117.0	5.0
118.0	7.0
119.0	7.0
120.0	7.0
121.0	8.0
122.0	8.0
123.0	6.0
124.0	3.0
125.0	3.0
126.0	4.0
127.0	5.0
128.0	9.0
129.0	5.0
130.0	11.0
131.0	2.0
132.0	4.0
133.0	4.0
134.0	1.0
135.0	9.0
136.0	7.0
137.0	7.0
138.0	3.0
139.0	2.0
140.0	5.0
141.0	2.0
142.0	6.0
143.0	5.0
144.0	6.0
145.0	6.0
146.0	6.0
147.0	4.0
148.0	7.0
149.0	6.0
150.0	7.0
151.0	8.0
152.0	8.0
153.0	6.0
154.0	5.0
155.0	4.0
156.0	7.0
157.0	3.0
158.0	5.0
159.0	5.0
161.0	10.0
162.0	9.0
163.0	8.0
164.0	7.0
165.0	5.0
166.0	3.0
167.0	4.0
168.0	2.0
169.0	5.0
170.0	4.0
171.0	1.0
172.0	7.0
173.0	2.0
174.0	5.0
175.0	5.0
176.0	6.0
177.0	5.0
178.0	22.0
179.0	7.0
180.0	12.0
182.0	3.0
183.0	5.0
184.0	3.0
185.0	7.0
186.0	4.0
187.0	2.0
188.0	1.0
189.0	3.0
190.0	5.0
191.0	2.0
192.0	6.0
193.0	3.0
194.0	3.0
195.0	5.0
196.0	2.0
197.0	14.0
198.0	1.0
199.0	5.0
200.0	3.0
201.0	2.0
202.0	2.0
203.0	5.0
204.0	4.0
205.0	4.0
206.0	2.0
207.0	16.0
208.0	1.0
210.0	1.0
211.0	4.0
212.0	6.0
213.0	8.0
214.0	1.0
215.0	3.0
216.0	3.0
217.0	2.0
218.0	2.0
219.0	3.0
220.0	2.0
221.0	1.0
222.0	2.0
223.0	1.0
224.0	5.0
225.0	2.0
226.0	1.0
227.0	4.0
228.0	1.0
229.0	1.0
230.0	1.0
232.0	5.0
233.0	3.0
234.0	3.0
235.0	1.0
236.0	4.0
237.0	2.0
238.0	2.0
