#Coverage (X)	Coverage
1.0	63.353250045265256
2.0	30.363932645301475
3.0	13.030357897278066
4.0	5.522361035669036
5.0	2.5529603476371676
6.0	1.9856358259400224
7.0	1.5812662200494998
8.0	1.4424527732512615
9.0	1.1889673486631693
10.0	1.1286136761421943
11.0	1.0561892691170272
12.0	0.9777294948397639
13.0	0.929446556822981
14.0	0.8871989860582943
15.0	0.808739211781031
16.0	0.7845977427726467
17.0	0.7604562737642624
18.0	0.7001026012432874
19.0	0.6759611322349031
20.0	0.6337135614702163
21.0	0.6276781942181202
22.0	0.5733598889492413
23.0	0.5311123181845545
24.0	0.32590983161324516
25.0	0.32590983161324516
26.0	0.29573299535276476
27.0	0.2836622608485726
28.0	0.27159152634438044
29.0	0.27159152634438044
30.0	0.26555615909228436
31.0	0.24745005733599612
32.0	0.22934395557970788
33.0	0.22934395557970788
34.0	0.21727322107551572
35.0	0.18709638481503532
36.0	0.15088418130244463
37.0	0.02414146900839853
38.0	1.4210854715202004E-14
39.0	1.4210854715202004E-14
40.0	1.4210854715202004E-14
41.0	1.4210854715202004E-14
42.0	1.4210854715202004E-14
43.0	1.4210854715202004E-14
44.0	1.4210854715202004E-14
45.0	1.4210854715202004E-14
46.0	1.4210854715202004E-14
47.0	1.4210854715202004E-14
48.0	1.4210854715202004E-14
49.0	1.4210854715202004E-14
50.0	1.4210854715202004E-14
51.0	1.4210854715202004E-14
