#Coverage	Number of genomic locations
0.0	6072.0
1.0	5466.0
2.0	2872.0
3.0	1244.0
4.0	492.0
5.0	94.0
6.0	67.0
7.0	23.0
8.0	42.0
9.0	10.0
10.0	12.0
11.0	13.0
12.0	8.0
13.0	7.0
14.0	13.0
15.0	4.0
16.0	4.0
17.0	10.0
18.0	4.0
19.0	7.0
20.0	1.0
21.0	9.0
22.0	7.0
23.0	34.0
25.0	5.0
26.0	2.0
27.0	2.0
29.0	1.0
30.0	3.0
31.0	3.0
33.0	2.0
34.0	5.0
35.0	6.0
36.0	21.0
37.0	4.0
