#Duplication rate	Coverage
1.0	474324.0
2.0	112030.0
3.0	32700.0
4.0	11134.0
5.0	4422.0
6.0	1831.0
7.0	880.0
8.0	460.0
9.0	249.0
10.0	161.0
11.0	109.0
12.0	81.0
13.0	54.0
14.0	46.0
15.0	40.0
16.0	30.0
17.0	32.0
18.0	22.0
19.0	26.0
20.0	25.0
21.0	20.0
22.0	18.0
23.0	24.0
24.0	21.0
25.0	20.0
26.0	13.0
27.0	17.0
28.0	17.0
29.0	12.0
30.0	16.0
31.0	12.0
32.0	15.0
33.0	14.0
34.0	13.0
35.0	15.0
36.0	7.0
37.0	10.0
38.0	7.0
39.0	9.0
40.0	9.0
41.0	8.0
42.0	13.0
43.0	7.0
44.0	2.0
45.0	8.0
46.0	6.0
47.0	7.0
48.0	2.0
49.0	5.0
50.0	16.0
