#Coverage	Number of genomic locations
0.0	112310.0
1.0	67094.0
2.0	88648.0
3.0	104533.0
4.0	113938.0
5.0	119695.0
6.0	121125.0
7.0	120501.0
8.0	117366.0
9.0	113770.0
10.0	109185.0
11.0	106505.0
12.0	102099.0
13.0	96510.0
14.0	91200.0
15.0	88264.0
16.0	83403.0
17.0	79024.0
18.0	75194.0
19.0	70939.0
20.0	68427.0
21.0	64456.0
22.0	60511.0
23.0	57458.0
24.0	54307.0
25.0	51794.0
26.0	49086.0
27.0	46990.0
28.0	44345.0
29.0	42319.0
30.0	40196.0
31.0	38996.0
32.0	37272.0
33.0	35103.0
34.0	33032.0
35.0	30943.0
36.0	30476.0
37.0	29390.0
38.0	28401.0
39.0	26434.0
40.0	25426.0
41.0	23986.0
42.0	23247.0
43.0	22222.0
44.0	21545.0
45.0	20346.0
46.0	19041.0
47.0	18809.0
48.0	17809.0
49.0	16476.0
50.0	15931.0
51.0	15016.0
52.0	14265.0
53.0	13526.0
54.0	12725.0
55.0	11883.0
56.0	11215.0
57.0	10523.0
58.0	9894.0
59.0	8857.0
60.0	8420.0
61.0	7628.0
62.0	6822.0
63.0	6291.0
64.0	5878.0
65.0	5493.0
66.0	4732.0
67.0	4522.0
68.0	3858.0
69.0	3577.0
70.0	3099.0
71.0	2834.0
72.0	2579.0
73.0	2210.0
74.0	1995.0
75.0	1744.0
76.0	1495.0
77.0	1256.0
78.0	1165.0
79.0	1054.0
80.0	908.0
81.0	814.0
82.0	702.0
83.0	558.0
84.0	521.0
85.0	408.0
86.0	319.0
87.0	248.0
88.0	177.0
89.0	155.0
90.0	122.0
91.0	91.0
92.0	86.0
93.0	57.0
94.0	38.0
95.0	28.0
96.0	28.0
97.0	18.0
98.0	17.0
99.0	17.0
100.0	20.0
101.0	18.0
102.0	17.0
103.0	13.0
104.0	13.0
105.0	20.0
106.0	16.0
107.0	18.0
108.0	8.0
109.0	9.0
110.0	6.0
111.0	10.0
112.0	5.0
113.0	10.0
114.0	6.0
115.0	1.0
116.0	5.0
117.0	3.0
118.0	4.0
119.0	5.0
120.0	5.0
121.0	2.0
122.0	7.0
123.0	5.0
124.0	2.0
125.0	5.0
126.0	3.0
127.0	3.0
128.0	3.0
129.0	6.0
130.0	2.0
131.0	5.0
132.0	3.0
133.0	5.0
134.0	2.0
135.0	2.0
136.0	4.0
137.0	5.0
138.0	4.0
139.0	3.0
140.0	3.0
141.0	5.0
142.0	5.0
143.0	3.0
144.0	4.0
145.0	3.0
146.0	3.0
147.0	4.0
148.0	3.0
149.0	5.0
150.0	5.0
151.0	5.0
152.0	6.0
153.0	5.0
154.0	9.0
155.0	8.0
156.0	5.0
157.0	5.0
158.0	5.0
159.0	5.0
160.0	4.0
161.0	4.0
162.0	1.0
163.0	2.0
164.0	9.0
165.0	2.0
166.0	4.0
168.0	5.0
169.0	7.0
170.0	1.0
171.0	4.0
172.0	4.0
173.0	4.0
174.0	1.0
175.0	4.0
176.0	3.0
177.0	2.0
178.0	4.0
179.0	3.0
180.0	6.0
181.0	3.0
182.0	3.0
183.0	3.0
184.0	1.0
185.0	1.0
186.0	1.0
187.0	1.0
188.0	5.0
189.0	2.0
190.0	4.0
191.0	4.0
192.0	2.0
193.0	6.0
194.0	2.0
195.0	7.0
196.0	3.0
197.0	3.0
198.0	3.0
199.0	6.0
200.0	4.0
201.0	4.0
202.0	3.0
203.0	6.0
204.0	2.0
205.0	2.0
206.0	2.0
207.0	1.0
208.0	4.0
209.0	5.0
210.0	3.0
211.0	3.0
212.0	4.0
213.0	4.0
214.0	4.0
215.0	3.0
216.0	3.0
217.0	3.0
218.0	6.0
219.0	3.0
220.0	7.0
221.0	5.0
222.0	2.0
223.0	4.0
224.0	9.0
225.0	8.0
226.0	3.0
227.0	4.0
228.0	2.0
229.0	2.0
230.0	8.0
231.0	3.0
232.0	2.0
233.0	7.0
234.0	3.0
235.0	4.0
236.0	3.0
237.0	2.0
238.0	4.0
239.0	4.0
241.0	3.0
242.0	1.0
243.0	1.0
244.0	6.0
245.0	4.0
246.0	1.0
247.0	1.0
249.0	1.0
250.0	1.0
251.0	4.0
252.0	4.0
253.0	4.0
254.0	3.0
255.0	2.0
256.0	3.0
257.0	1.0
258.0	2.0
259.0	3.0
260.0	6.0
261.0	3.0
262.0	1.0
263.0	2.0
264.0	1.0
265.0	1.0
266.0	1.0
267.0	2.0
269.0	2.0
270.0	2.0
271.0	3.0
272.0	5.0
273.0	2.0
274.0	2.0
275.0	2.0
276.0	2.0
277.0	1.0
278.0	4.0
279.0	4.0
280.0	3.0
281.0	6.0
283.0	2.0
284.0	2.0
285.0	2.0
286.0	1.0
287.0	2.0
288.0	4.0
289.0	1.0
290.0	2.0
291.0	3.0
292.0	2.0
293.0	1.0
294.0	2.0
295.0	5.0
296.0	3.0
297.0	6.0
298.0	3.0
300.0	1.0
301.0	2.0
302.0	1.0
303.0	2.0
305.0	7.0
306.0	6.0
307.0	2.0
308.0	2.0
309.0	3.0
310.0	2.0
311.0	1.0
312.0	4.0
313.0	3.0
314.0	4.0
315.0	3.0
316.0	5.0
317.0	1.0
318.0	2.0
319.0	3.0
320.0	2.0
321.0	2.0
322.0	2.0
323.0	4.0
324.0	2.0
325.0	4.0
326.0	3.0
327.0	5.0
328.0	4.0
329.0	3.0
330.0	2.0
331.0	4.0
332.0	3.0
333.0	6.0
334.0	1.0
335.0	1.0
336.0	5.0
337.0	1.0
338.0	1.0
339.0	1.0
340.0	4.0
341.0	2.0
342.0	9.0
343.0	6.0
344.0	1.0
345.0	1.0
346.0	2.0
347.0	1.0
348.0	6.0
349.0	2.0
350.0	3.0
351.0	4.0
352.0	5.0
353.0	1.0
354.0	4.0
355.0	4.0
356.0	5.0
357.0	8.0
358.0	3.0
359.0	4.0
360.0	5.0
361.0	4.0
362.0	3.0
363.0	4.0
364.0	3.0
365.0	3.0
366.0	3.0
367.0	3.0
368.0	4.0
369.0	4.0
370.0	5.0
371.0	3.0
372.0	3.0
373.0	4.0
374.0	1.0
376.0	5.0
377.0	4.0
378.0	2.0
379.0	2.0
380.0	4.0
381.0	1.0
382.0	1.0
383.0	7.0
384.0	2.0
385.0	1.0
386.0	5.0
387.0	5.0
388.0	4.0
389.0	5.0
390.0	2.0
391.0	1.0
392.0	5.0
393.0	4.0
394.0	3.0
395.0	3.0
396.0	2.0
397.0	2.0
398.0	1.0
399.0	3.0
400.0	4.0
401.0	4.0
402.0	3.0
403.0	1.0
404.0	6.0
405.0	7.0
406.0	2.0
407.0	4.0
408.0	2.0
409.0	3.0
410.0	2.0
411.0	2.0
412.0	1.0
413.0	6.0
414.0	5.0
415.0	6.0
416.0	5.0
417.0	5.0
