#Coverage (X)	Coverage
1.0	96.56355495665355
2.0	94.51062250417125
3.0	91.79818389494166
4.0	88.59969836634994
5.0	85.11344001581297
6.0	81.45102981669132
7.0	77.74486468557798
8.0	74.05779261569737
9.0	70.46664481979852
10.0	66.9855269088242
11.0	63.64470016091411
12.0	60.385875663170246
13.0	57.261865312528016
14.0	54.30886637090781
15.0	51.51834203689306
16.0	48.81765300380668
17.0	46.265700141637474
18.0	43.847735284497325
19.0	41.54696021024398
20.0	39.376379007056784
21.0	37.282659614473154
22.0	35.31044430226642
23.0	33.45893752621855
24.0	31.700846000080176
25.0	30.039168313596193
26.0	28.454383035570316
27.0	26.95245674763777
28.0	25.514663562820303
29.0	24.157801703260176
30.0	22.862931096997343
31.0	21.63301973592216
32.0	20.439825800294543
33.0	19.299382565893254
34.0	18.225306077988435
35.0	17.214597746835196
36.0	16.267808333815253
37.0	15.335308118865328
38.0	14.436037173945437
39.0	13.56702750716525
40.0	12.758203820264526
41.0	11.980222770739758
42.0	11.246302631752059
43.0	10.534994307269159
44.0	9.855048783689384
45.0	9.195818007632937
46.0	8.57327405916952
47.0	7.99066031088033
48.0	7.415145264844327
49.0	6.87022807334796
50.0	6.366097821952934
51.0	5.878643401282005
