#Coverage (X)	Coverage
1.0	0.06866158558693769
2.0	0.03928764522888173
3.0	0.025671599958741353
4.0	0.020684149668781515
5.0	0.016247460760538956
6.0	0.011902565415908839
7.0	0.009699519889053931
8.0	0.007527072216745978
9.0	0.0054158202535177224
10.0	0.004467286762789513
11.0	0.003304568290289467
12.0	0.002570219781333094
13.0	0.002233643381401862
14.0	0.001835871272390932
15.0	0.0017440777087784909
16.0	0.0014075013088472588
17.0	0.0013769034543145153
18.0	0.0013157077452348176
19.0	0.0012545120361551199
20.0	0.0012239141816223764
21.0	0.001193316327089633
22.0	0.0011627184725568895
23.0	0.001132120618024146
24.0	0.001040327054411705
25.0	9.791313453320072E-4
26.0	9.179356362523095E-4
27.0	8.567399271726117E-4
28.0	8.261420726398683E-4
29.0	7.955442181071248E-4
30.0	7.343485090274271E-4
31.0	6.731527999477294E-4
32.0	5.507613817883339E-4
33.0	2.1418498185710177E-4
34.0	2.1418498185710177E-4
35.0	1.8358712732435833E-4
36.0	8.526512829121202E-14
37.0	8.526512829121202E-14
38.0	8.526512829121202E-14
39.0	8.526512829121202E-14
40.0	8.526512829121202E-14
41.0	8.526512829121202E-14
42.0	8.526512829121202E-14
43.0	8.526512829121202E-14
44.0	8.526512829121202E-14
45.0	8.526512829121202E-14
46.0	8.526512829121202E-14
47.0	8.526512829121202E-14
48.0	8.526512829121202E-14
49.0	8.526512829121202E-14
50.0	8.526512829121202E-14
51.0	8.526512829121202E-14
