#Coverage	Number of genomic locations
0.0	180733.0
1.0	188570.0
2.0	249394.0
3.0	285464.0
4.0	302080.0
5.0	300134.0
6.0	288348.0
7.0	270014.0
8.0	245734.0
9.0	215140.0
10.0	180637.0
11.0	148801.0
12.0	117440.0
13.0	88851.0
14.0	66090.0
15.0	46647.0
16.0	32413.0
17.0	22009.0
18.0	14487.0
19.0	9570.0
20.0	5840.0
21.0	3551.0
22.0	2008.0
23.0	1151.0
24.0	682.0
25.0	392.0
26.0	291.0
27.0	114.0
28.0	73.0
29.0	51.0
30.0	63.0
31.0	40.0
32.0	22.0
33.0	18.0
34.0	17.0
35.0	19.0
36.0	12.0
37.0	10.0
38.0	14.0
39.0	19.0
40.0	9.0
41.0	9.0
42.0	5.0
43.0	10.0
44.0	12.0
45.0	7.0
46.0	14.0
47.0	9.0
48.0	9.0
49.0	7.0
50.0	7.0
51.0	5.0
52.0	21.0
53.0	16.0
54.0	12.0
55.0	19.0
56.0	18.0
57.0	9.0
58.0	12.0
59.0	17.0
60.0	9.0
61.0	22.0
62.0	12.0
63.0	23.0
64.0	9.0
65.0	20.0
66.0	18.0
67.0	9.0
68.0	11.0
69.0	17.0
70.0	2.0
71.0	12.0
72.0	7.0
73.0	8.0
74.0	8.0
75.0	10.0
76.0	10.0
77.0	12.0
78.0	11.0
79.0	6.0
80.0	12.0
81.0	12.0
82.0	18.0
83.0	5.0
84.0	7.0
85.0	7.0
86.0	5.0
87.0	3.0
88.0	4.0
89.0	4.0
90.0	8.0
91.0	6.0
92.0	10.0
93.0	4.0
94.0	12.0
95.0	16.0
96.0	14.0
97.0	7.0
98.0	6.0
99.0	6.0
100.0	10.0
101.0	7.0
102.0	10.0
103.0	8.0
104.0	4.0
105.0	5.0
106.0	2.0
107.0	5.0
108.0	8.0
109.0	3.0
110.0	5.0
111.0	2.0
112.0	3.0
113.0	4.0
114.0	2.0
115.0	2.0
116.0	2.0
117.0	3.0
118.0	1.0
119.0	4.0
120.0	2.0
121.0	1.0
122.0	2.0
123.0	5.0
124.0	5.0
125.0	4.0
126.0	2.0
127.0	5.0
128.0	4.0
129.0	6.0
130.0	2.0
131.0	3.0
132.0	3.0
133.0	4.0
134.0	1.0
135.0	2.0
136.0	1.0
137.0	3.0
138.0	2.0
139.0	1.0
140.0	3.0
141.0	1.0
142.0	1.0
143.0	2.0
144.0	2.0
145.0	6.0
146.0	2.0
147.0	1.0
148.0	1.0
149.0	1.0
150.0	4.0
151.0	6.0
152.0	4.0
