#Coverage (X)	Coverage
1.0	99.9939646327479
2.0	99.9939646327479
3.0	99.9939646327479
4.0	99.9939646327479
5.0	99.80686824793288
6.0	99.565453557849
7.0	99.26368519524414
8.0	98.98605830164766
9.0	98.46701671796728
10.0	97.70052507695094
11.0	96.60812360432132
12.0	95.01478664976764
13.0	93.47576800048283
14.0	91.67119319210573
15.0	90.03560866678737
16.0	88.1827509203935
17.0	86.07640774941154
18.0	84.42875248958899
19.0	82.4189751946406
20.0	80.34884422717121
21.0	77.97694489709698
22.0	76.06976884543424
23.0	74.04792081598166
24.0	71.75448126018468
25.0	69.15323797453075
26.0	66.42525197658277
27.0	63.6912306113827
28.0	61.0235982859557
29.0	58.44046110205806
30.0	55.93578369243768
31.0	53.50353068984247
32.0	50.92039350594483
33.0	48.18033677349266
34.0	45.47649224455308
35.0	42.923531896915925
36.0	40.5214557305812
37.0	38.65652724968314
38.0	36.761421932524584
39.0	34.84821051360974
40.0	33.07381254149314
41.0	31.239060896855563
42.0	29.404309252217985
43.0	27.78683082865591
44.0	25.95207918401833
45.0	24.594121552296443
46.0	23.39308346912908
47.0	22.234292956726406
48.0	21.099643913332116
49.0	19.977065604442018
50.0	19.011406844106446
51.0	17.931076105981035
