#Read position (bp)	Clipping profile
0.0	1.1249259917110717
1.0	1.1249259917110717
2.0	1.1249259917110717
3.0	1.1841326228537596
4.0	1.1841326228537596
5.0	1.2433392539964476
6.0	1.2433392539964476
7.0	1.2433392539964476
8.0	1.2433392539964476
9.0	1.2433392539964476
10.0	1.2433392539964476
11.0	1.2433392539964476
12.0	1.2433392539964476
13.0	1.2433392539964476
14.0	1.2433392539964476
15.0	1.3025458851391356
16.0	1.3025458851391356
17.0	1.3025458851391356
18.0	1.3025458851391356
19.0	1.3025458851391356
20.0	1.3617525162818236
21.0	1.3617525162818236
22.0	1.3617525162818236
23.0	1.3617525162818236
24.0	1.3617525162818236
25.0	1.3617525162818236
26.0	1.3617525162818236
27.0	1.3617525162818236
28.0	1.3617525162818236
29.0	1.3617525162818236
30.0	1.3617525162818236
31.0	1.3617525162818236
32.0	1.3617525162818236
33.0	1.3617525162818236
34.0	1.3617525162818236
35.0	1.3617525162818236
36.0	1.3025458851391356
37.0	1.3025458851391356
38.0	1.3025458851391356
39.0	1.3025458851391356
40.0	1.3025458851391356
41.0	1.3025458851391356
42.0	1.3025458851391356
43.0	1.3025458851391356
44.0	1.3025458851391356
45.0	1.1249259917110717
46.0	1.1249259917110717
47.0	1.1249259917110717
48.0	1.1249259917110717
49.0	1.1249259917110717
50.0	1.0657193605683837
51.0	1.0657193605683837
52.0	1.0657193605683837
53.0	1.0657193605683837
54.0	1.0657193605683837
55.0	1.0657193605683837
56.0	1.0657193605683837
57.0	1.0657193605683837
58.0	1.0657193605683837
59.0	1.0065127294256957
60.0	1.0065127294256957
61.0	0.8880994671403196
62.0	0.8880994671403196
63.0	0.8880994671403196
64.0	0.8880994671403196
65.0	0.8880994671403196
66.0	0.8880994671403196
67.0	0.8880994671403196
68.0	0.8880994671403196
69.0	0.8880994671403196
70.0	0.8880994671403196
71.0	0.8880994671403196
72.0	0.8880994671403196
73.0	0.8288928359976317
74.0	0.7696862048549438
75.0	0.7696862048549438
76.0	0.7696862048549438
77.0	0.7696862048549438
78.0	0.7104795737122558
79.0	0.6512729425695678
80.0	0.5920663114268798
81.0	0.5328596802841918
82.0	0.5328596802841918
83.0	0.5328596802841918
84.0	0.4736530491415038
85.0	0.4736530491415038
86.0	0.4736530491415038
87.0	0.4144464179988159
88.0	0.3552397868561279
89.0	0.3552397868561279
90.0	0.3552397868561279
91.0	0.2960331557134399
92.0	0.2960331557134399
93.0	0.2960331557134399
94.0	0.2368265245707519
95.0	0.2368265245707519
96.0	0.2368265245707519
97.0	0.2368265245707519
98.0	0.2368265245707519
99.0	0.2368265245707519
100.0	0.17761989342806395
101.0	0.17761989342806395
102.0	0.11841326228537595
103.0	0.059206631142687975
104.0	0.059206631142687975
105.0	0.059206631142687975
106.0	0.059206631142687975
107.0	0.059206631142687975
108.0	0.059206631142687975
109.0	0.059206631142687975
110.0	0.059206631142687975
111.0	0.059206631142687975
112.0	0.059206631142687975
113.0	0.059206631142687975
114.0	0.059206631142687975
115.0	0.059206631142687975
116.0	0.0
117.0	0.0
118.0	0.0
119.0	0.0
120.0	0.0
121.0	0.0
122.0	0.0
123.0	0.0
124.0	0.0
125.0	0.0
126.0	0.0
127.0	0.0
128.0	0.0
