#Coverage	Number of genomic locations
0.0	1.0
4.0	31.0
5.0	40.0
6.0	50.0
7.0	46.0
8.0	86.0
9.0	127.0
10.0	181.0
11.0	264.0
12.0	255.0
13.0	299.0
14.0	271.0
15.0	307.0
16.0	349.0
17.0	273.0
18.0	333.0
19.0	343.0
20.0	393.0
21.0	316.0
22.0	335.0
23.0	380.0
24.0	431.0
25.0	452.0
26.0	453.0
27.0	442.0
28.0	428.0
29.0	415.0
30.0	403.0
31.0	428.0
32.0	454.0
33.0	448.0
34.0	423.0
35.0	398.0
36.0	309.0
37.0	314.0
38.0	317.0
39.0	294.0
40.0	304.0
41.0	304.0
42.0	268.0
43.0	304.0
44.0	225.0
45.0	199.0
46.0	192.0
47.0	188.0
48.0	186.0
49.0	160.0
50.0	179.0
51.0	182.0
52.0	134.0
53.0	153.0
54.0	138.0
55.0	116.0
56.0	106.0
57.0	118.0
58.0	108.0
59.0	106.0
60.0	103.0
61.0	89.0
62.0	67.0
63.0	58.0
64.0	65.0
65.0	57.0
66.0	51.0
67.0	38.0
68.0	51.0
69.0	30.0
70.0	37.0
71.0	38.0
72.0	73.0
73.0	51.0
74.0	44.0
75.0	29.0
76.0	39.0
77.0	25.0
78.0	29.0
79.0	28.0
80.0	19.0
81.0	18.0
82.0	30.0
83.0	23.0
84.0	15.0
85.0	22.0
86.0	16.0
87.0	31.0
88.0	16.0
89.0	18.0
90.0	15.0
91.0	21.0
92.0	16.0
93.0	28.0
94.0	17.0
95.0	18.0
96.0	13.0
97.0	21.0
98.0	16.0
99.0	15.0
100.0	6.0
101.0	16.0
102.0	18.0
103.0	19.0
104.0	7.0
105.0	11.0
106.0	7.0
107.0	3.0
108.0	1.0
109.0	10.0
110.0	2.0
111.0	2.0
112.0	2.0
113.0	8.0
114.0	9.0
115.0	11.0
116.0	5.0
117.0	7.0
118.0	3.0
119.0	10.0
120.0	9.0
121.0	7.0
122.0	9.0
123.0	7.0
124.0	3.0
125.0	12.0
126.0	12.0
127.0	17.0
128.0	10.0
129.0	6.0
130.0	5.0
131.0	3.0
132.0	3.0
133.0	3.0
134.0	10.0
135.0	3.0
136.0	5.0
137.0	4.0
138.0	1.0
140.0	2.0
141.0	1.0
142.0	3.0
143.0	3.0
144.0	1.0
145.0	2.0
146.0	6.0
147.0	3.0
148.0	6.0
149.0	1.0
150.0	1.0
151.0	2.0
152.0	4.0
153.0	3.0
154.0	7.0
155.0	3.0
156.0	3.0
157.0	1.0
158.0	1.0
159.0	1.0
161.0	1.0
163.0	1.0
166.0	2.0
167.0	1.0
169.0	1.0
170.0	2.0
172.0	1.0
175.0	1.0
177.0	1.0
178.0	1.0
181.0	1.0
184.0	1.0
185.0	2.0
187.0	1.0
189.0	2.0
192.0	1.0
195.0	1.0
196.0	1.0
197.0	1.0
198.0	1.0
200.0	2.0
203.0	1.0
209.0	1.0
211.0	1.0
212.0	1.0
218.0	1.0
219.0	2.0
228.0	2.0
232.0	1.0
234.0	1.0
237.0	3.0
241.0	1.0
243.0	2.0
244.0	2.0
247.0	1.0
248.0	1.0
249.0	2.0
252.0	1.0
255.0	1.0
258.0	1.0
259.0	1.0
260.0	1.0
261.0	1.0
263.0	1.0
264.0	1.0
266.0	1.0
268.0	1.0
269.0	1.0
271.0	1.0
272.0	1.0
273.0	1.0
274.0	1.0
275.0	3.0
277.0	4.0
278.0	2.0
279.0	1.0
280.0	1.0
281.0	1.0
282.0	3.0
283.0	1.0
