#Coverage (X)	Coverage
1.0	0.035524109120515845
2.0	0.017563168505745352
3.0	0.010219683416238468
4.0	0.007282289380427187
5.0	0.0051710374171989315
6.0	0.003916525381072233
7.0	0.0021724476723079533
8.0	0.0013463055997391393
9.0	8.26142072568814E-4
10.0	3.9777210901092985E-4
11.0	2.4478283631879094E-4
12.0	6.119570907969774E-5
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
