#Coverage	Number of genomic locations
0.0	320480.0
1.0	425781.0
2.0	504616.0
3.0	498876.0
4.0	433248.0
5.0	350031.0
6.0	260701.0
7.0	180640.0
8.0	121564.0
9.0	75361.0
10.0	43501.0
11.0	24488.0
12.0	12930.0
13.0	6761.0
14.0	3462.0
15.0	1687.0
16.0	811.0
17.0	364.0
18.0	212.0
19.0	157.0
20.0	95.0
21.0	71.0
22.0	49.0
23.0	25.0
24.0	41.0
25.0	37.0
26.0	31.0
27.0	36.0
28.0	29.0
29.0	16.0
30.0	30.0
31.0	39.0
32.0	27.0
33.0	22.0
34.0	18.0
35.0	18.0
36.0	17.0
37.0	6.0
38.0	15.0
39.0	15.0
40.0	17.0
41.0	32.0
42.0	16.0
43.0	18.0
44.0	20.0
45.0	18.0
46.0	20.0
47.0	15.0
48.0	13.0
49.0	14.0
50.0	17.0
51.0	23.0
52.0	16.0
53.0	18.0
54.0	12.0
55.0	14.0
56.0	11.0
57.0	9.0
58.0	11.0
59.0	7.0
60.0	8.0
61.0	9.0
62.0	7.0
63.0	11.0
64.0	9.0
65.0	18.0
66.0	22.0
67.0	12.0
68.0	12.0
69.0	12.0
70.0	6.0
71.0	12.0
72.0	12.0
73.0	16.0
74.0	12.0
75.0	9.0
76.0	12.0
77.0	12.0
78.0	11.0
79.0	9.0
80.0	6.0
81.0	8.0
82.0	2.0
83.0	7.0
84.0	13.0
85.0	8.0
86.0	7.0
87.0	8.0
88.0	7.0
89.0	11.0
90.0	7.0
91.0	9.0
92.0	9.0
93.0	12.0
94.0	14.0
95.0	9.0
96.0	6.0
97.0	4.0
98.0	9.0
99.0	9.0
100.0	10.0
101.0	12.0
102.0	10.0
103.0	3.0
104.0	8.0
105.0	6.0
106.0	7.0
107.0	6.0
108.0	9.0
109.0	4.0
110.0	3.0
111.0	7.0
112.0	3.0
113.0	2.0
114.0	6.0
115.0	6.0
116.0	5.0
117.0	3.0
118.0	7.0
119.0	8.0
120.0	8.0
121.0	8.0
122.0	7.0
123.0	6.0
124.0	12.0
125.0	7.0
126.0	6.0
127.0	5.0
128.0	3.0
129.0	5.0
130.0	6.0
131.0	5.0
132.0	7.0
133.0	4.0
134.0	9.0
135.0	7.0
136.0	2.0
137.0	9.0
138.0	9.0
139.0	7.0
140.0	10.0
141.0	7.0
142.0	6.0
143.0	2.0
144.0	11.0
145.0	7.0
146.0	8.0
147.0	8.0
148.0	5.0
149.0	5.0
150.0	5.0
151.0	4.0
152.0	1.0
153.0	2.0
154.0	3.0
155.0	3.0
156.0	2.0
157.0	6.0
158.0	2.0
159.0	5.0
160.0	3.0
161.0	4.0
162.0	2.0
163.0	4.0
164.0	4.0
165.0	2.0
166.0	4.0
167.0	6.0
168.0	4.0
169.0	5.0
170.0	6.0
171.0	8.0
172.0	9.0
173.0	4.0
174.0	4.0
175.0	7.0
176.0	1.0
178.0	5.0
179.0	2.0
180.0	2.0
181.0	3.0
182.0	4.0
183.0	2.0
184.0	4.0
185.0	4.0
186.0	2.0
187.0	3.0
188.0	1.0
189.0	2.0
190.0	1.0
191.0	1.0
192.0	3.0
194.0	4.0
195.0	1.0
196.0	5.0
197.0	1.0
198.0	3.0
199.0	2.0
200.0	2.0
201.0	3.0
202.0	4.0
203.0	1.0
204.0	4.0
205.0	2.0
206.0	3.0
207.0	3.0
208.0	1.0
209.0	8.0
210.0	3.0
211.0	6.0
212.0	5.0
213.0	2.0
214.0	1.0
215.0	8.0
216.0	2.0
217.0	4.0
218.0	3.0
219.0	1.0
220.0	5.0
221.0	4.0
222.0	1.0
223.0	3.0
225.0	2.0
226.0	3.0
227.0	1.0
228.0	2.0
229.0	3.0
230.0	3.0
231.0	2.0
232.0	2.0
233.0	3.0
234.0	3.0
235.0	1.0
236.0	2.0
237.0	1.0
238.0	1.0
239.0	5.0
241.0	4.0
242.0	3.0
243.0	1.0
244.0	5.0
245.0	2.0
246.0	2.0
247.0	3.0
248.0	2.0
249.0	2.0
250.0	5.0
251.0	4.0
252.0	5.0
253.0	7.0
254.0	4.0
255.0	2.0
257.0	3.0
258.0	2.0
259.0	2.0
260.0	2.0
261.0	2.0
262.0	1.0
264.0	5.0
265.0	1.0
266.0	1.0
268.0	2.0
269.0	5.0
270.0	2.0
272.0	1.0
273.0	5.0
274.0	1.0
275.0	1.0
276.0	1.0
277.0	1.0
278.0	1.0
279.0	2.0
281.0	1.0
282.0	4.0
283.0	1.0
285.0	1.0
287.0	2.0
288.0	2.0
289.0	2.0
291.0	1.0
292.0	1.0
293.0	1.0
295.0	4.0
296.0	3.0
297.0	1.0
300.0	1.0
301.0	2.0
302.0	2.0
303.0	3.0
304.0	3.0
305.0	1.0
306.0	3.0
309.0	2.0
310.0	2.0
311.0	2.0
313.0	2.0
314.0	1.0
317.0	3.0
318.0	2.0
320.0	2.0
322.0	2.0
323.0	5.0
324.0	1.0
325.0	1.0
328.0	2.0
329.0	1.0
331.0	3.0
333.0	1.0
334.0	1.0
335.0	1.0
336.0	1.0
337.0	2.0
338.0	1.0
339.0	2.0
340.0	1.0
341.0	4.0
342.0	1.0
346.0	1.0
347.0	3.0
349.0	1.0
351.0	1.0
352.0	1.0
353.0	1.0
354.0	1.0
355.0	2.0
356.0	3.0
357.0	3.0
361.0	3.0
362.0	1.0
363.0	2.0
364.0	1.0
365.0	2.0
366.0	3.0
367.0	3.0
368.0	1.0
369.0	1.0
370.0	4.0
371.0	1.0
372.0	2.0
375.0	1.0
376.0	1.0
377.0	2.0
378.0	2.0
379.0	1.0
381.0	3.0
382.0	2.0
383.0	2.0
384.0	2.0
385.0	3.0
388.0	4.0
389.0	1.0
390.0	3.0
391.0	3.0
393.0	2.0
394.0	1.0
395.0	3.0
396.0	3.0
397.0	2.0
398.0	2.0
399.0	1.0
400.0	4.0
402.0	2.0
403.0	2.0
404.0	2.0
405.0	7.0
406.0	2.0
407.0	5.0
408.0	2.0
409.0	1.0
410.0	5.0
411.0	2.0
412.0	8.0
413.0	3.0
414.0	4.0
415.0	1.0
416.0	2.0
418.0	2.0
419.0	3.0
421.0	2.0
422.0	2.0
424.0	2.0
425.0	1.0
427.0	2.0
428.0	5.0
429.0	1.0
433.0	1.0
434.0	1.0
435.0	1.0
436.0	1.0
439.0	2.0
440.0	1.0
441.0	6.0
442.0	1.0
443.0	1.0
444.0	2.0
445.0	2.0
446.0	4.0
447.0	1.0
448.0	1.0
449.0	4.0
450.0	1.0
451.0	1.0
456.0	3.0
457.0	2.0
460.0	1.0
461.0	1.0
463.0	2.0
464.0	1.0
466.0	1.0
467.0	2.0
469.0	2.0
471.0	2.0
474.0	1.0
475.0	2.0
478.0	2.0
479.0	1.0
480.0	1.0
482.0	2.0
483.0	1.0
484.0	1.0
486.0	3.0
487.0	3.0
488.0	3.0
490.0	2.0
491.0	1.0
492.0	1.0
493.0	1.0
494.0	1.0
495.0	3.0
497.0	5.0
498.0	1.0
500.0	2.0
503.0	1.0
505.0	1.0
506.0	1.0
511.0	1.0
512.0	2.0
521.0	2.0
522.0	1.0
523.0	1.0
524.0	2.0
529.0	1.0
530.0	1.0
531.0	2.0
534.0	1.0
536.0	1.0
537.0	1.0
538.0	1.0
543.0	1.0
544.0	2.0
547.0	1.0
549.0	1.0
550.0	1.0
552.0	4.0
555.0	1.0
557.0	1.0
558.0	1.0
559.0	3.0
561.0	1.0
564.0	2.0
565.0	1.0
568.0	1.0
578.0	1.0
582.0	1.0
585.0	1.0
589.0	2.0
593.0	1.0
595.0	1.0
602.0	1.0
605.0	1.0
608.0	2.0
612.0	1.0
617.0	2.0
622.0	1.0
623.0	1.0
624.0	1.0
626.0	1.0
633.0	1.0
634.0	1.0
637.0	1.0
640.0	1.0
642.0	1.0
645.0	1.0
647.0	2.0
652.0	1.0
656.0	1.0
657.0	1.0
658.0	1.0
660.0	1.0
662.0	1.0
665.0	2.0
669.0	1.0
670.0	1.0
672.0	1.0
674.0	1.0
678.0	1.0
679.0	4.0
682.0	1.0
683.0	1.0
685.0	1.0
694.0	1.0
698.0	2.0
708.0	1.0
712.0	1.0
713.0	1.0
718.0	1.0
725.0	1.0
729.0	1.0
735.0	2.0
738.0	1.0
749.0	1.0
750.0	1.0
756.0	1.0
766.0	2.0
768.0	1.0
775.0	1.0
781.0	1.0
785.0	1.0
787.0	1.0
788.0	1.0
792.0	1.0
798.0	1.0
801.0	1.0
806.0	1.0
809.0	1.0
810.0	1.0
814.0	1.0
821.0	1.0
824.0	3.0
828.0	1.0
829.0	1.0
830.0	2.0
834.0	1.0
835.0	1.0
839.0	1.0
844.0	1.0
864.0	2.0
879.0	1.0
880.0	1.0
887.0	1.0
895.0	1.0
899.0	1.0
909.0	1.0
910.0	1.0
923.0	1.0
930.0	1.0
935.0	1.0
941.0	1.0
944.0	1.0
950.0	1.0
959.0	1.0
961.0	1.0
967.0	1.0
971.0	1.0
973.0	1.0
974.0	1.0
977.0	2.0
982.0	1.0
985.0	1.0
989.0	1.0
