#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	7.954816641476414E-5
26.0	0.0
27.0	0.0
28.0	0.0
29.0	1.5909633282952827E-4
30.0	7.954816641476414E-5
31.0	0.0
32.0	0.0
33.0	2.386444992442924E-4
34.0	4.772889984885848E-4
35.0	3.1819266565905654E-4
36.0	7.159334977328772E-4
37.0	0.001113674329806698
38.0	9.545779969771697E-4
39.0	8.750298305624056E-4
40.0	0.001590963328295283
41.0	0.0026250894916872163
42.0	0.003897860154323443
43.0	0.005091082650544905
44.0	0.006522949646010659
45.0	0.00922758730411264
46.0	0.014000477288998487
47.0	0.017341500278418583
48.0	0.022591679261793014
49.0	0.02561450958555405
50.0	0.03428525972476334
51.0	0.05083127833903428
52.0	0.048842574178665187
53.0	0.062206666136345554
54.0	0.07469572826346353
55.0	0.07922997374910506
56.0	0.08432105639964999
57.0	0.08479834539813856
58.0	0.08273009307135469
59.0	0.07270702410309442
60.0	0.06332034046615224
61.0	0.05051308567337522
62.0	0.03842176437833108
63.0	0.025296316919894996
64.0	0.0157505369501233
65.0	0.009227587304112638
66.0	0.005329727149789198
67.0	0.0017500596611248114
68.0	0.001113674329806698
69.0	4.7728899848858487E-4
70.0	3.1819266565905654E-4
71.0	7.954816641476414E-5
72.0	7.954816641476414E-5
73.0	7.954816641476414E-5
74.0	0.0
75.0	7.954816641476414E-5
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
