#Coverage	Number of genomic locations
0.0	468252.0
1.0	481290.0
2.0	461482.0
3.0	385590.0
4.0	321191.0
5.0	264044.0
6.0	216863.0
7.0	170068.0
8.0	131639.0
9.0	103824.0
10.0	76125.0
11.0	56732.0
12.0	42129.0
13.0	28564.0
14.0	20423.0
15.0	13851.0
16.0	9334.0
17.0	5866.0
18.0	3437.0
19.0	2126.0
20.0	1199.0
21.0	732.0
22.0	405.0
23.0	225.0
24.0	71.0
25.0	79.0
26.0	68.0
27.0	58.0
28.0	36.0
29.0	27.0
30.0	35.0
31.0	40.0
32.0	43.0
33.0	41.0
34.0	34.0
35.0	20.0
36.0	20.0
37.0	19.0
38.0	17.0
39.0	20.0
40.0	21.0
41.0	15.0
42.0	19.0
43.0	26.0
44.0	22.0
45.0	27.0
46.0	29.0
47.0	30.0
48.0	20.0
49.0	11.0
50.0	8.0
51.0	16.0
52.0	9.0
53.0	12.0
54.0	11.0
55.0	16.0
56.0	20.0
57.0	15.0
58.0	14.0
59.0	5.0
60.0	20.0
61.0	13.0
62.0	6.0
63.0	9.0
64.0	7.0
65.0	7.0
66.0	14.0
67.0	7.0
68.0	5.0
69.0	14.0
70.0	10.0
71.0	7.0
72.0	17.0
73.0	12.0
74.0	11.0
75.0	11.0
76.0	12.0
77.0	1.0
78.0	7.0
79.0	9.0
80.0	5.0
81.0	5.0
82.0	9.0
83.0	10.0
84.0	8.0
85.0	6.0
86.0	9.0
87.0	8.0
88.0	5.0
89.0	7.0
90.0	7.0
91.0	8.0
92.0	6.0
93.0	10.0
94.0	14.0
95.0	13.0
96.0	6.0
97.0	4.0
98.0	5.0
99.0	7.0
100.0	4.0
101.0	5.0
102.0	1.0
103.0	3.0
104.0	4.0
105.0	8.0
106.0	5.0
107.0	3.0
108.0	4.0
109.0	2.0
110.0	9.0
111.0	3.0
112.0	9.0
113.0	13.0
114.0	8.0
115.0	4.0
116.0	5.0
117.0	5.0
118.0	4.0
119.0	1.0
120.0	4.0
121.0	4.0
122.0	6.0
123.0	8.0
124.0	1.0
125.0	1.0
126.0	2.0
127.0	1.0
128.0	8.0
129.0	2.0
131.0	5.0
132.0	3.0
133.0	9.0
134.0	4.0
135.0	4.0
136.0	6.0
137.0	4.0
138.0	8.0
139.0	5.0
140.0	4.0
141.0	4.0
142.0	4.0
143.0	2.0
144.0	3.0
145.0	4.0
146.0	6.0
147.0	3.0
148.0	4.0
149.0	5.0
150.0	4.0
151.0	3.0
152.0	4.0
153.0	2.0
154.0	3.0
155.0	1.0
156.0	3.0
157.0	2.0
158.0	6.0
159.0	2.0
160.0	4.0
161.0	6.0
162.0	6.0
163.0	2.0
164.0	7.0
165.0	2.0
166.0	1.0
167.0	1.0
168.0	4.0
169.0	3.0
170.0	9.0
171.0	1.0
172.0	3.0
173.0	2.0
174.0	3.0
175.0	4.0
176.0	6.0
177.0	4.0
178.0	7.0
179.0	5.0
180.0	7.0
181.0	1.0
182.0	3.0
183.0	3.0
184.0	5.0
185.0	7.0
186.0	2.0
187.0	3.0
188.0	2.0
189.0	5.0
190.0	7.0
191.0	2.0
192.0	5.0
193.0	5.0
195.0	4.0
196.0	4.0
197.0	3.0
198.0	7.0
199.0	8.0
200.0	10.0
201.0	7.0
202.0	4.0
203.0	15.0
204.0	6.0
205.0	3.0
206.0	6.0
207.0	7.0
208.0	2.0
209.0	1.0
210.0	4.0
211.0	3.0
212.0	5.0
213.0	5.0
214.0	2.0
215.0	3.0
217.0	2.0
218.0	4.0
219.0	1.0
220.0	4.0
221.0	2.0
222.0	7.0
223.0	2.0
224.0	3.0
225.0	3.0
226.0	5.0
227.0	5.0
228.0	5.0
229.0	8.0
230.0	6.0
231.0	5.0
232.0	2.0
233.0	11.0
234.0	5.0
235.0	1.0
236.0	6.0
237.0	3.0
238.0	6.0
239.0	4.0
240.0	3.0
241.0	5.0
242.0	11.0
243.0	2.0
244.0	6.0
245.0	3.0
247.0	2.0
248.0	1.0
249.0	2.0
250.0	2.0
251.0	1.0
252.0	2.0
253.0	2.0
254.0	4.0
255.0	4.0
256.0	4.0
257.0	3.0
258.0	1.0
259.0	2.0
260.0	1.0
261.0	2.0
262.0	8.0
263.0	2.0
264.0	2.0
265.0	5.0
266.0	2.0
267.0	6.0
268.0	3.0
270.0	2.0
271.0	1.0
273.0	2.0
274.0	2.0
275.0	1.0
277.0	2.0
278.0	1.0
279.0	1.0
280.0	2.0
281.0	2.0
282.0	1.0
283.0	2.0
284.0	1.0
285.0	3.0
286.0	2.0
287.0	1.0
288.0	2.0
289.0	1.0
290.0	2.0
291.0	1.0
292.0	3.0
293.0	3.0
294.0	3.0
295.0	2.0
296.0	1.0
297.0	2.0
298.0	2.0
299.0	2.0
303.0	5.0
304.0	1.0
305.0	4.0
306.0	3.0
307.0	1.0
308.0	3.0
309.0	3.0
310.0	5.0
311.0	1.0
312.0	3.0
313.0	2.0
315.0	5.0
316.0	3.0
317.0	3.0
318.0	3.0
319.0	6.0
320.0	1.0
321.0	3.0
322.0	4.0
323.0	3.0
324.0	2.0
325.0	4.0
327.0	1.0
328.0	1.0
330.0	1.0
