#Duplication rate	Coverage
1.0	601805.0
2.0	206729.0
3.0	84128.0
4.0	38064.0
5.0	18614.0
6.0	9436.0
7.0	4992.0
8.0	2715.0
9.0	1575.0
10.0	876.0
11.0	497.0
12.0	299.0
13.0	169.0
14.0	139.0
15.0	79.0
16.0	48.0
17.0	42.0
18.0	37.0
19.0	26.0
20.0	39.0
21.0	28.0
22.0	20.0
23.0	21.0
24.0	23.0
25.0	17.0
26.0	21.0
27.0	11.0
28.0	14.0
29.0	17.0
30.0	23.0
31.0	12.0
32.0	11.0
33.0	17.0
34.0	13.0
35.0	12.0
36.0	16.0
37.0	16.0
38.0	23.0
39.0	12.0
40.0	13.0
41.0	11.0
42.0	8.0
43.0	8.0
44.0	7.0
45.0	7.0
46.0	2.0
47.0	3.0
48.0	6.0
49.0	5.0
50.0	24.0
