#Coverage	Number of genomic locations
0.0	87316.0
1.0	20446.0
2.0	31518.0
3.0	42547.0
4.0	51242.0
5.0	60143.0
6.0	66658.0
7.0	71388.0
8.0	73008.0
9.0	77048.0
10.0	76556.0
11.0	76931.0
12.0	76894.0
13.0	76577.0
14.0	75720.0
15.0	73808.0
16.0	72599.0
17.0	70498.0
18.0	68744.0
19.0	66190.0
20.0	64336.0
21.0	62922.0
22.0	61039.0
23.0	59261.0
24.0	57717.0
25.0	55867.0
26.0	53720.0
27.0	51894.0
28.0	50048.0
29.0	47216.0
30.0	45767.0
31.0	44428.0
32.0	42472.0
33.0	40717.0
34.0	40090.0
35.0	39414.0
36.0	37525.0
37.0	36041.0
38.0	34972.0
39.0	33821.0
40.0	33013.0
41.0	32276.0
42.0	31225.0
43.0	29984.0
44.0	28948.0
45.0	27937.0
46.0	26771.0
47.0	26054.0
48.0	24823.0
49.0	24080.0
50.0	23372.0
51.0	22620.0
52.0	22055.0
53.0	21265.0
54.0	20531.0
55.0	19834.0
56.0	19449.0
57.0	18709.0
58.0	18238.0
59.0	17863.0
60.0	17264.0
61.0	16210.0
62.0	15886.0
63.0	15465.0
64.0	14931.0
65.0	14356.0
66.0	13697.0
67.0	13732.0
68.0	12818.0
69.0	12718.0
70.0	12415.0
71.0	11882.0
72.0	11600.0
73.0	11279.0
74.0	11191.0
75.0	10873.0
76.0	10427.0
77.0	10091.0
78.0	9597.0
79.0	9338.0
80.0	9134.0
81.0	9074.0
82.0	8696.0
83.0	8354.0
84.0	8063.0
85.0	7688.0
86.0	7815.0
87.0	7421.0
88.0	7232.0
89.0	6792.0
90.0	6810.0
91.0	6825.0
92.0	6477.0
93.0	6179.0
94.0	6112.0
95.0	5781.0
96.0	5581.0
97.0	5515.0
98.0	5376.0
99.0	5080.0
100.0	4788.0
101.0	4615.0
102.0	4513.0
103.0	4384.0
104.0	4168.0
105.0	4158.0
106.0	4006.0
107.0	3721.0
108.0	3635.0
109.0	3588.0
110.0	3316.0
111.0	3126.0
112.0	2960.0
113.0	2849.0
114.0	2901.0
115.0	2610.0
116.0	2626.0
117.0	2501.0
118.0	2320.0
119.0	2245.0
120.0	2167.0
121.0	2027.0
122.0	1878.0
123.0	1716.0
124.0	1670.0
125.0	1638.0
126.0	1529.0
127.0	1480.0
128.0	1415.0
129.0	1306.0
130.0	1281.0
131.0	1246.0
132.0	1124.0
133.0	1047.0
134.0	1024.0
135.0	990.0
136.0	894.0
137.0	844.0
138.0	795.0
139.0	778.0
140.0	698.0
141.0	670.0
142.0	661.0
143.0	656.0
144.0	572.0
145.0	491.0
146.0	481.0
147.0	422.0
148.0	419.0
149.0	330.0
150.0	358.0
151.0	320.0
152.0	302.0
153.0	251.0
154.0	245.0
155.0	254.0
156.0	223.0
157.0	239.0
158.0	205.0
159.0	180.0
160.0	164.0
161.0	162.0
162.0	153.0
163.0	138.0
164.0	160.0
165.0	142.0
166.0	131.0
167.0	102.0
168.0	103.0
169.0	93.0
170.0	103.0
171.0	73.0
172.0	77.0
173.0	71.0
174.0	63.0
175.0	62.0
176.0	65.0
177.0	60.0
178.0	60.0
179.0	46.0
180.0	30.0
181.0	40.0
182.0	33.0
183.0	38.0
184.0	36.0
185.0	23.0
186.0	39.0
187.0	30.0
188.0	33.0
189.0	20.0
190.0	21.0
191.0	18.0
192.0	13.0
193.0	18.0
194.0	11.0
195.0	9.0
196.0	15.0
197.0	12.0
198.0	14.0
199.0	16.0
200.0	12.0
201.0	15.0
202.0	10.0
203.0	15.0
204.0	11.0
205.0	5.0
206.0	13.0
207.0	7.0
208.0	10.0
209.0	7.0
210.0	7.0
211.0	9.0
212.0	3.0
213.0	6.0
214.0	6.0
215.0	4.0
216.0	4.0
217.0	4.0
218.0	1.0
219.0	6.0
220.0	5.0
221.0	4.0
222.0	7.0
223.0	3.0
224.0	7.0
225.0	6.0
226.0	4.0
227.0	4.0
228.0	3.0
229.0	3.0
230.0	5.0
231.0	5.0
232.0	2.0
233.0	5.0
234.0	4.0
235.0	2.0
236.0	3.0
237.0	5.0
238.0	5.0
239.0	4.0
240.0	8.0
241.0	2.0
243.0	3.0
244.0	2.0
245.0	3.0
246.0	3.0
247.0	3.0
248.0	4.0
249.0	2.0
250.0	4.0
251.0	3.0
252.0	2.0
253.0	4.0
254.0	3.0
256.0	4.0
257.0	4.0
258.0	2.0
259.0	2.0
260.0	1.0
261.0	2.0
262.0	2.0
263.0	5.0
264.0	3.0
265.0	1.0
266.0	5.0
267.0	2.0
268.0	3.0
269.0	3.0
270.0	3.0
271.0	4.0
272.0	3.0
273.0	5.0
274.0	3.0
275.0	1.0
276.0	4.0
277.0	8.0
278.0	9.0
279.0	5.0
280.0	4.0
281.0	4.0
283.0	1.0
284.0	2.0
285.0	3.0
286.0	2.0
287.0	4.0
288.0	3.0
289.0	3.0
290.0	3.0
291.0	1.0
292.0	2.0
293.0	3.0
294.0	6.0
295.0	3.0
296.0	3.0
297.0	3.0
298.0	1.0
299.0	2.0
300.0	5.0
301.0	6.0
302.0	1.0
303.0	7.0
304.0	2.0
305.0	2.0
306.0	1.0
307.0	7.0
308.0	5.0
309.0	1.0
310.0	4.0
311.0	4.0
312.0	5.0
313.0	5.0
314.0	1.0
315.0	4.0
316.0	1.0
317.0	3.0
318.0	6.0
319.0	3.0
320.0	5.0
321.0	1.0
322.0	3.0
323.0	7.0
324.0	3.0
325.0	3.0
326.0	5.0
327.0	6.0
328.0	3.0
329.0	5.0
330.0	3.0
331.0	2.0
332.0	4.0
333.0	3.0
334.0	7.0
335.0	1.0
337.0	2.0
338.0	2.0
339.0	1.0
340.0	2.0
341.0	2.0
342.0	2.0
343.0	4.0
344.0	1.0
345.0	2.0
346.0	3.0
347.0	6.0
348.0	3.0
349.0	7.0
350.0	1.0
351.0	3.0
352.0	4.0
353.0	1.0
354.0	1.0
355.0	1.0
356.0	2.0
357.0	3.0
358.0	2.0
359.0	3.0
360.0	5.0
361.0	4.0
362.0	4.0
363.0	1.0
364.0	4.0
365.0	6.0
366.0	4.0
367.0	2.0
368.0	2.0
369.0	1.0
370.0	2.0
371.0	4.0
372.0	3.0
373.0	3.0
375.0	2.0
376.0	7.0
377.0	4.0
378.0	5.0
379.0	2.0
380.0	3.0
381.0	3.0
382.0	2.0
383.0	10.0
384.0	5.0
385.0	3.0
386.0	5.0
387.0	4.0
388.0	2.0
389.0	8.0
390.0	3.0
391.0	2.0
392.0	2.0
393.0	7.0
394.0	1.0
395.0	3.0
396.0	9.0
397.0	3.0
398.0	1.0
399.0	3.0
400.0	1.0
401.0	4.0
402.0	1.0
