#Coverage	Number of genomic locations
0.0	3264112.0
1.0	1981.0
2.0	319.0
3.0	107.0
4.0	126.0
5.0	38.0
6.0	71.0
7.0	51.0
8.0	44.0
9.0	62.0
10.0	47.0
11.0	68.0
12.0	33.0
13.0	48.0
14.0	37.0
15.0	41.0
16.0	41.0
17.0	12.0
18.0	30.0
19.0	8.0
20.0	11.0
21.0	14.0
22.0	15.0
23.0	33.0
24.0	25.0
25.0	12.0
26.0	22.0
27.0	8.0
28.0	14.0
29.0	12.0
30.0	20.0
31.0	21.0
32.0	15.0
33.0	15.0
34.0	17.0
35.0	10.0
36.0	5.0
37.0	11.0
38.0	8.0
39.0	11.0
40.0	9.0
41.0	19.0
42.0	15.0
43.0	13.0
44.0	9.0
45.0	11.0
46.0	11.0
47.0	8.0
48.0	7.0
49.0	6.0
50.0	8.0
51.0	11.0
52.0	19.0
53.0	10.0
54.0	20.0
55.0	11.0
56.0	5.0
57.0	1.0
58.0	8.0
59.0	4.0
60.0	2.0
61.0	3.0
62.0	7.0
63.0	8.0
64.0	9.0
65.0	4.0
66.0	6.0
67.0	3.0
68.0	15.0
69.0	2.0
70.0	16.0
71.0	9.0
72.0	3.0
73.0	4.0
74.0	5.0
75.0	6.0
76.0	6.0
77.0	5.0
78.0	7.0
79.0	13.0
80.0	6.0
81.0	6.0
82.0	8.0
83.0	9.0
84.0	5.0
85.0	6.0
86.0	4.0
87.0	9.0
88.0	4.0
89.0	8.0
90.0	9.0
91.0	11.0
92.0	4.0
93.0	2.0
94.0	1.0
95.0	5.0
96.0	4.0
97.0	8.0
98.0	3.0
99.0	4.0
100.0	7.0
101.0	2.0
102.0	1.0
103.0	4.0
104.0	1.0
105.0	7.0
106.0	1.0
107.0	3.0
108.0	1.0
109.0	1.0
110.0	2.0
111.0	5.0
112.0	3.0
113.0	5.0
114.0	3.0
115.0	2.0
116.0	2.0
117.0	9.0
118.0	6.0
119.0	5.0
120.0	4.0
121.0	3.0
122.0	5.0
123.0	3.0
124.0	1.0
126.0	2.0
127.0	1.0
128.0	3.0
129.0	3.0
130.0	4.0
131.0	2.0
132.0	3.0
134.0	2.0
135.0	2.0
136.0	1.0
137.0	2.0
138.0	3.0
139.0	5.0
140.0	3.0
141.0	5.0
142.0	5.0
143.0	3.0
144.0	1.0
147.0	1.0
151.0	1.0
153.0	2.0
157.0	1.0
158.0	1.0
159.0	1.0
160.0	1.0
163.0	1.0
164.0	1.0
165.0	2.0
167.0	1.0
168.0	1.0
171.0	2.0
172.0	1.0
173.0	1.0
174.0	1.0
176.0	4.0
177.0	2.0
179.0	1.0
180.0	1.0
182.0	1.0
185.0	2.0
186.0	1.0
187.0	1.0
188.0	2.0
189.0	2.0
190.0	2.0
