#Coverage (X)	Coverage
1.0	63.51620496107188
2.0	31.070070613796844
3.0	13.19934818033677
4.0	5.7094574204840285
5.0	2.6797030599311853
6.0	1.99167119319209
7.0	1.6295491580662542
8.0	1.4484881405033292
9.0	1.3338161627134753
10.0	1.140684410646358
11.0	1.1105075743858777
12.0	1.0199770656044223
13.0	0.9535880258313512
14.0	0.9173758223187605
15.0	0.8389160480414972
16.0	0.7845977427726183
17.0	0.760456273764234
18.0	0.700102601243259
19.0	0.6699257649827786
20.0	0.6457842959743942
21.0	0.6156074597139138
22.0	0.5793952562013231
23.0	0.5190415836803481
24.0	0.3379805661174231
25.0	0.29573299535273634
26.0	0.2836622608485442
27.0	0.271591526344352
28.0	0.271591526344352
29.0	0.271591526344352
30.0	0.26555615909225594
31.0	0.25952079184015986
32.0	0.22934395557967946
33.0	0.22934395557967946
34.0	0.2172732210754873
35.0	0.1870963848150069
36.0	0.1508841813024162
37.0	0.02414146900837011
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
