#Read position (bp)	Clipping profile
0.0	1.6129032258064515
1.0	1.6129032258064515
2.0	1.6129032258064515
3.0	1.6129032258064515
4.0	1.6129032258064515
5.0	1.6129032258064515
6.0	1.6129032258064515
7.0	1.6129032258064515
8.0	1.6129032258064515
9.0	1.6129032258064515
10.0	1.6129032258064515
11.0	1.6129032258064515
12.0	1.6129032258064515
13.0	1.6129032258064515
14.0	1.6129032258064515
15.0	1.6129032258064515
16.0	1.6129032258064515
17.0	1.6129032258064515
18.0	1.6129032258064515
19.0	1.6129032258064515
20.0	1.6129032258064515
21.0	1.6129032258064515
22.0	1.6129032258064515
23.0	1.6129032258064515
24.0	1.6129032258064515
25.0	1.6129032258064515
26.0	1.6129032258064515
27.0	1.6129032258064515
28.0	1.6129032258064515
29.0	1.6129032258064515
30.0	1.2096774193548387
31.0	1.2096774193548387
32.0	1.2096774193548387
33.0	1.2096774193548387
34.0	1.2096774193548387
35.0	1.2096774193548387
36.0	1.2096774193548387
37.0	1.2096774193548387
38.0	1.2096774193548387
39.0	1.2096774193548387
40.0	1.2096774193548387
41.0	1.2096774193548387
42.0	1.2096774193548387
43.0	1.2096774193548387
44.0	1.2096774193548387
45.0	1.2096774193548387
46.0	1.2096774193548387
47.0	1.2096774193548387
48.0	1.2096774193548387
49.0	1.2096774193548387
50.0	1.2096774193548387
51.0	1.2096774193548387
52.0	1.2096774193548387
53.0	1.2096774193548387
54.0	1.2096774193548387
55.0	1.2096774193548387
56.0	1.2096774193548387
57.0	1.2096774193548387
58.0	1.2096774193548387
59.0	1.2096774193548387
60.0	1.2096774193548387
61.0	1.2096774193548387
62.0	0.8064516129032258
63.0	0.8064516129032258
64.0	0.8064516129032258
65.0	0.8064516129032258
66.0	0.8064516129032258
67.0	0.8064516129032258
68.0	0.8064516129032258
69.0	0.8064516129032258
70.0	0.8064516129032258
71.0	0.8064516129032258
72.0	0.4032258064516129
73.0	0.4032258064516129
74.0	0.4032258064516129
75.0	0.4032258064516129
76.0	0.4032258064516129
77.0	0.4032258064516129
78.0	0.4032258064516129
79.0	0.4032258064516129
80.0	0.4032258064516129
81.0	0.4032258064516129
82.0	0.4032258064516129
83.0	0.4032258064516129
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
101.0	0.0
102.0	0.0
103.0	0.0
104.0	0.0
105.0	0.0
106.0	0.0
107.0	0.0
108.0	0.0
109.0	0.0
110.0	0.0
111.0	0.0
112.0	0.0
113.0	0.0
114.0	0.0
115.0	0.0
116.0	0.0
117.0	0.0
118.0	0.0
119.0	0.0
120.0	0.0
121.0	0.0
122.0	0.0
123.0	0.0
124.0	0.0
125.0	0.0
126.0	0.0
127.0	0.0
128.0	0.0
