#Coverage (X)	Coverage
1.0	0.05348504973528634
2.0	0.015604905815223447
3.0	0.009883107016307235
4.0	0.006486745162405327
5.0	0.005507613817130164
6.0	0.004895656726333186
7.0	0.004100112508297116
8.0	0.0038553296719783248
9.0	0.002967991890329813
10.0	0.0024172305086125334
11.0	0.001468697017884324
12.0	0.001468697017884324
13.0	0.001468697017884324
14.0	0.0014075013088046262
15.0	0.0014075013088046262
16.0	0.0013769034542718828
17.0	0.0013463055997391393
18.0	0.0013157077452063959
19.0	0.0012851098906736524
20.0	0.0012851098906736524
21.0	0.001254512036140909
22.0	0.001254512036140909
23.0	0.0011933163270612113
24.0	0.0011321206179815135
25.0	0.00110152276344877
26.0	0.00110152276344877
27.0	0.00110152276344877
28.0	0.0010709249089160267
29.0	0.0010403270543832832
30.0	0.0010097291998505398
31.0	0.0010097291998505398
32.0	9.791313453177963E-4
33.0	9.485334907850529E-4
34.0	9.485334907850529E-4
35.0	9.179356362523095E-4
36.0	8.87337781719566E-4
37.0	8.567399271868226E-4
38.0	7.343485090274271E-4
39.0	7.037506544946837E-4
40.0	6.425549454149859E-4
41.0	4.589678181758927E-4
42.0	3.6717425456345154E-4
43.0	1.223914182446606E-4
44.0	8.526512829121202E-14
45.0	8.526512829121202E-14
46.0	8.526512829121202E-14
47.0	8.526512829121202E-14
48.0	8.526512829121202E-14
49.0	8.526512829121202E-14
50.0	8.526512829121202E-14
51.0	8.526512829121202E-14
