#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0030120481927710845
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0030120481927710845
29.0	0.006024096385542169
30.0	0.009036144578313254
31.0	0.0030120481927710845
32.0	0.009036144578313254
33.0	0.015060240963855423
34.0	0.006024096385542169
35.0	0.03614457831325301
36.0	0.03313253012048193
37.0	0.03313253012048193
38.0	0.04819277108433735
39.0	0.05120481927710843
40.0	0.054216867469879526
41.0	0.08433734939759036
42.0	0.0783132530120482
43.0	0.06626506024096386
44.0	0.08132530120481928
45.0	0.06024096385542169
46.0	0.05421686746987952
47.0	0.06626506024096386
48.0	0.05421686746987952
49.0	0.03012048192771084
50.0	0.030120481927710843
51.0	0.012048192771084338
52.0	0.012048192771084338
53.0	0.012048192771084338
54.0	0.006024096385542169
55.0	0.012048192771084338
56.0	0.012048192771084338
57.0	0.006024096385542169
58.0	0.006024096385542169
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0030120481927710845
63.0	0.0030120481927710845
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
