#Coverage (X)	Coverage
1.0	93.83789003560867
2.0	82.99233508358984
3.0	64.8077735530207
4.0	50.17804333393687
5.0	37.01490735711268
6.0	26.290059750135796
7.0	18.80620435753515
8.0	12.764801738185767
9.0	9.499668054801134
10.0	7.3631480475586955
11.0	6.101756291870359
12.0	5.0214255537449475
13.0	3.93505944836744
14.0	3.090108033073818
15.0	2.4382883698473137
16.0	2.1184139054861504
17.0	1.913211418914841
18.0	1.7683626048645067
19.0	1.6235137908141724
20.0	1.532983282032717
21.0	1.3700283662260944
22.0	1.34588689721771
23.0	1.2976039592009272
24.0	1.279497857444639
25.0	1.2674271229404468
26.0	1.2432856539320625
27.0	1.213108817671582
28.0	1.207073450419486
29.0	1.1950027159152938
30.0	1.1768966141590056
31.0	1.140684410646415
32.0	1.1286136761422227
33.0	1.1165429416380306
34.0	1.08033073812544
35.0	1.08033073812544
36.0	1.026012432856561
37.0	0.9777294948397781
38.0	0.9475526585792977
39.0	0.9294465568230095
40.0	0.9173758223188173
41.0	0.8992697205625291
42.0	0.8690928843020487
43.0	0.8268453135373619
44.0	0.7906331100247712
45.0	0.7664916410163869
46.0	0.7483855392600987
47.0	0.7483855392600987
48.0	0.7302794375038104
49.0	0.6759611322349315
50.0	0.6578550304786432
51.0	0.6216428269660526
