#Read position (bp)	Clipping profile
0.0	1.4388489208633095
1.0	1.4388489208633095
2.0	1.079136690647482
3.0	1.079136690647482
4.0	1.079136690647482
5.0	1.079136690647482
6.0	1.079136690647482
7.0	1.079136690647482
8.0	1.079136690647482
9.0	1.079136690647482
10.0	1.079136690647482
11.0	1.079136690647482
12.0	1.079136690647482
13.0	1.079136690647482
14.0	1.079136690647482
15.0	1.079136690647482
16.0	1.079136690647482
17.0	1.079136690647482
18.0	1.079136690647482
19.0	1.079136690647482
20.0	1.079136690647482
21.0	1.079136690647482
22.0	1.079136690647482
23.0	1.079136690647482
24.0	1.079136690647482
25.0	1.079136690647482
26.0	1.079136690647482
27.0	1.079136690647482
28.0	1.079136690647482
29.0	1.079136690647482
30.0	1.079136690647482
31.0	1.079136690647482
32.0	1.079136690647482
33.0	1.079136690647482
34.0	1.079136690647482
35.0	1.079136690647482
36.0	1.079136690647482
37.0	1.079136690647482
38.0	1.079136690647482
39.0	1.079136690647482
40.0	1.079136690647482
41.0	1.079136690647482
42.0	1.079136690647482
43.0	1.079136690647482
44.0	1.079136690647482
45.0	1.079136690647482
46.0	1.079136690647482
47.0	1.079136690647482
48.0	1.079136690647482
49.0	1.079136690647482
50.0	1.079136690647482
51.0	1.079136690647482
52.0	1.079136690647482
53.0	1.079136690647482
54.0	1.079136690647482
55.0	1.079136690647482
56.0	1.079136690647482
57.0	1.079136690647482
58.0	1.079136690647482
59.0	1.079136690647482
60.0	1.079136690647482
61.0	1.079136690647482
62.0	1.079136690647482
63.0	1.079136690647482
64.0	0.7194244604316548
65.0	0.7194244604316548
66.0	0.7194244604316548
67.0	0.7194244604316548
68.0	0.7194244604316548
69.0	0.7194244604316548
70.0	0.7194244604316548
71.0	0.7194244604316548
72.0	0.7194244604316548
73.0	0.7194244604316548
74.0	0.7194244604316548
75.0	0.7194244604316548
76.0	0.7194244604316548
77.0	0.7194244604316548
78.0	0.7194244604316548
79.0	0.7194244604316548
80.0	0.7194244604316548
81.0	0.7194244604316548
82.0	0.7194244604316548
83.0	0.7194244604316548
84.0	0.7194244604316548
85.0	0.7194244604316548
86.0	0.7194244604316548
87.0	0.3597122302158274
88.0	0.3597122302158274
89.0	0.3597122302158274
90.0	0.3597122302158274
91.0	0.3597122302158274
92.0	0.3597122302158274
93.0	0.3597122302158274
94.0	0.3597122302158274
95.0	0.3597122302158274
96.0	0.3597122302158274
97.0	0.3597122302158274
98.0	0.3597122302158274
99.0	0.3597122302158274
100.0	0.3597122302158274
101.0	0.3597122302158274
102.0	0.3597122302158274
103.0	0.3597122302158274
104.0	0.3597122302158274
105.0	0.3597122302158274
106.0	0.3597122302158274
107.0	0.3597122302158274
108.0	0.3597122302158274
109.0	0.3597122302158274
110.0	0.3597122302158274
111.0	0.3597122302158274
112.0	0.3597122302158274
113.0	0.3597122302158274
114.0	0.3597122302158274
115.0	0.3597122302158274
116.0	0.3597122302158274
117.0	0.3597122302158274
118.0	0.3597122302158274
119.0	0.3597122302158274
120.0	0.3597122302158274
121.0	0.3597122302158274
122.0	0.3597122302158274
123.0	0.3597122302158274
124.0	0.3597122302158274
125.0	0.0
126.0	0.0
127.0	0.0
128.0	0.0
129.0	0.0
130.0	0.0
131.0	0.0
132.0	0.0
133.0	0.0
134.0	0.0
135.0	0.0
136.0	0.0
137.0	0.0
138.0	0.0
