#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.005405405405405406
23.0	0.0
24.0	0.005405405405405406
25.0	0.005405405405405406
26.0	0.005405405405405406
27.0	0.010810810810810811
28.0	0.010810810810810811
29.0	0.016216216216216217
30.0	0.016216216216216217
31.0	0.02702702702702703
32.0	0.016216216216216217
33.0	0.021621621621621623
34.0	0.032432432432432434
35.0	0.010810810810810811
36.0	0.016216216216216217
37.0	0.04864864864864865
38.0	0.03783783783783784
39.0	0.043243243243243246
40.0	0.021621621621621623
41.0	0.05405405405405406
42.0	0.04864864864864865
43.0	0.05945945945945946
44.0	0.05945945945945946
45.0	0.07027027027027027
46.0	0.05405405405405406
47.0	0.016216216216216217
48.0	0.03783783783783784
49.0	0.02702702702702703
50.0	0.05405405405405406
51.0	0.010810810810810811
52.0	0.02702702702702703
53.0	0.016216216216216217
54.0	0.021621621621621623
55.0	0.016216216216216217
56.0	0.032432432432432434
57.0	0.016216216216216217
58.0	0.010810810810810811
59.0	0.0
60.0	0.005405405405405406
61.0	0.005405405405405406
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.005405405405405406
