#Coverage (X)	Coverage
1.0	55.07272617538777
2.0	18.425976220653027
3.0	7.079485786710123
4.0	2.6676323254270073
5.0	1.545054016536909
6.0	1.3398515299655998
7.0	1.1406844106463865
8.0	1.0320478001086286
9.0	1.0018709638481482
10.0	0.9596233930834615
11.0	0.8751282515541021
12.0	0.8147745790331271
13.0	0.7966684772768389
14.0	0.7363148047558639
15.0	0.6518196632265045
16.0	0.6095720924618178
17.0	0.6095720924618178
18.0	0.5371476854366506
19.0	0.5311123181845545
20.0	0.4707586456635795
21.0	0.3500513006216295
22.0	0.32590983161324516
23.0	0.313839097109053
24.0	0.30176836260486084
25.0	0.29573299535276476
26.0	0.2474500573359819
27.0	0.24141469008388583
28.0	0.23537932283178975
29.0	0.22934395557969367
30.0	0.2233085883275976
31.0	0.2172732210755015
32.0	0.2172732210755015
33.0	0.1870963848150211
34.0	0.17502565031082895
35.0	0.17502565031082895
36.0	0.17502565031082895
37.0	0.1569195485545407
38.0	0.1569195485545407
39.0	0.13881344679825247
40.0	0.11467197778986815
41.0	0.10863661053777207
42.0	0.10260124328567599
43.0	2.8421709430404007E-14
44.0	2.8421709430404007E-14
45.0	2.8421709430404007E-14
46.0	2.8421709430404007E-14
47.0	2.8421709430404007E-14
48.0	2.8421709430404007E-14
49.0	2.8421709430404007E-14
50.0	2.8421709430404007E-14
51.0	2.8421709430404007E-14
