#Coverage (X)	Coverage
1.0	85.67074933839788
2.0	70.94029960807208
3.0	56.827926539446906
4.0	45.02247871383754
5.0	35.20026142806918
6.0	27.11792994498812
7.0	20.482509807377326
8.0	15.283628342547871
9.0	11.254411063205069
10.0	8.07373348595543
11.0	5.7438904498894345
12.0	4.008441336110394
13.0	2.7209754106461617
14.0	1.8461521515034462
15.0	1.2216193424949466
16.0	0.7988793841753505
17.0	0.5129118356479125
18.0	0.33400618015465966
19.0	0.22945331119272794
20.0	0.1642798810233046
21.0	0.12734827059396991
22.0	0.1051648260527287
23.0	0.09274209710963532
24.0	0.08616355838361756
25.0	0.08383812143860325
26.0	0.08126790165727016
27.0	0.07934023682126679
28.0	0.0776573548215822
29.0	0.0765252342036149
30.0	0.07563789642196639
31.0	0.07468936293123818
32.0	0.07340425304057874
33.0	0.0719967517317599
34.0	0.07089522896833955
35.0	0.0697325104958395
36.0	0.06905935769596283
37.0	0.06850859631424555
38.0	0.06789663922344857
39.0	0.06749886711443764
40.0	0.06691750787818762
41.0	0.0661525615146985
42.0	0.06575478940568757
43.0	0.06523462587851725
44.0	0.0641942988241766
45.0	0.06379652671516567
46.0	0.06297038464259685
47.0	0.06168527475193741
48.0	0.06104271980660769
49.0	0.060430762715810715
50.0	0.06006358846133253
51.0	0.05981880562501374
