#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	7.285443683520327E-5
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	7.285443683520327E-5
25.0	2.185633105056098E-4
26.0	1.4570887367040654E-4
27.0	7.285443683520327E-5
28.0	0.0
29.0	2.914177473408131E-4
30.0	2.914177473408131E-4
31.0	1.4570887367040654E-4
32.0	6.556899315168294E-4
33.0	0.001311379863033659
34.0	8.013988051872359E-4
35.0	0.0010928165525280488
36.0	0.002258487541891301
37.0	0.0027684685997377244
38.0	0.0034241585312545526
39.0	0.003861285152265773
40.0	0.005026956141629025
41.0	0.007868279178201952
42.0	0.007358298120355528
43.0	0.012822380882995775
44.0	0.01435232405653504
45.0	0.017266501529943176
46.0	0.022439166545242605
47.0	0.031618825586478216
48.0	0.03671863616494244
49.0	0.04429549759580358
50.0	0.0491767448637622
51.0	0.0665889552673758
52.0	0.060760600320559514
53.0	0.07751712079265627
54.0	0.08006702608188838
55.0	0.08188838700276847
56.0	0.08057700713973481
57.0	0.07234445577735685
58.0	0.06469473990966049
59.0	0.04932245373743261
60.0	0.036062946233425625
61.0	0.028486084802564475
62.0	0.01682937490893195
63.0	0.00874253242022439
64.0	0.005391228325805041
65.0	0.002258487541891301
66.0	0.0010199621156928458
67.0	8.013988051872358E-4
68.0	7.285443683520327E-5
69.0	0.0
70.0	0.0
71.0	0.0
72.0	7.285443683520327E-5
73.0	7.285443683520327E-5
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
