#Coverage	Number of genomic locations
0.0	1217101.0
1.0	921485.0
2.0	558603.0
3.0	296593.0
4.0	147887.0
5.0	70874.0
6.0	31460.0
7.0	13076.0
8.0	4961.0
9.0	1830.0
10.0	590.0
11.0	230.0
12.0	185.0
13.0	151.0
14.0	89.0
15.0	95.0
16.0	109.0
17.0	56.0
18.0	40.0
19.0	42.0
20.0	40.0
21.0	47.0
22.0	67.0
23.0	56.0
24.0	23.0
25.0	31.0
26.0	32.0
27.0	29.0
28.0	37.0
29.0	38.0
30.0	39.0
31.0	34.0
32.0	33.0
33.0	30.0
34.0	15.0
35.0	17.0
36.0	10.0
37.0	16.0
38.0	21.0
39.0	23.0
40.0	16.0
41.0	21.0
42.0	25.0
43.0	7.0
44.0	31.0
45.0	13.0
46.0	20.0
47.0	19.0
48.0	12.0
49.0	8.0
50.0	11.0
51.0	22.0
52.0	15.0
53.0	13.0
54.0	14.0
55.0	7.0
56.0	7.0
57.0	12.0
58.0	8.0
59.0	14.0
60.0	12.0
61.0	14.0
62.0	11.0
63.0	4.0
64.0	12.0
65.0	5.0
66.0	6.0
67.0	7.0
68.0	9.0
69.0	7.0
70.0	13.0
71.0	9.0
72.0	6.0
73.0	10.0
74.0	4.0
75.0	15.0
76.0	6.0
77.0	8.0
78.0	12.0
79.0	10.0
80.0	18.0
81.0	3.0
82.0	4.0
83.0	4.0
84.0	5.0
85.0	10.0
86.0	5.0
87.0	6.0
88.0	4.0
89.0	12.0
90.0	7.0
91.0	6.0
92.0	9.0
93.0	6.0
94.0	7.0
95.0	7.0
96.0	4.0
97.0	9.0
98.0	4.0
99.0	6.0
100.0	6.0
101.0	2.0
102.0	6.0
103.0	4.0
104.0	5.0
105.0	6.0
106.0	5.0
107.0	5.0
108.0	7.0
109.0	6.0
110.0	10.0
111.0	6.0
112.0	4.0
113.0	7.0
114.0	7.0
115.0	8.0
116.0	3.0
117.0	2.0
118.0	9.0
119.0	8.0
120.0	4.0
121.0	7.0
122.0	10.0
123.0	8.0
124.0	7.0
125.0	18.0
126.0	6.0
127.0	6.0
128.0	9.0
129.0	13.0
130.0	3.0
131.0	4.0
133.0	7.0
134.0	3.0
135.0	4.0
136.0	5.0
137.0	6.0
138.0	5.0
139.0	1.0
140.0	3.0
141.0	5.0
142.0	8.0
143.0	8.0
144.0	8.0
145.0	7.0
146.0	5.0
147.0	3.0
148.0	3.0
149.0	6.0
150.0	10.0
151.0	6.0
152.0	13.0
153.0	5.0
154.0	8.0
155.0	1.0
156.0	4.0
157.0	4.0
158.0	6.0
159.0	3.0
160.0	5.0
161.0	3.0
162.0	4.0
163.0	9.0
164.0	7.0
165.0	6.0
166.0	6.0
167.0	7.0
168.0	10.0
169.0	4.0
170.0	11.0
171.0	10.0
172.0	9.0
173.0	2.0
174.0	4.0
175.0	5.0
176.0	7.0
177.0	5.0
178.0	5.0
179.0	3.0
180.0	4.0
181.0	6.0
182.0	9.0
183.0	9.0
184.0	2.0
185.0	3.0
186.0	3.0
187.0	3.0
188.0	2.0
189.0	2.0
190.0	1.0
191.0	6.0
192.0	2.0
193.0	2.0
194.0	2.0
195.0	3.0
196.0	5.0
197.0	4.0
198.0	4.0
199.0	4.0
200.0	3.0
201.0	2.0
202.0	6.0
203.0	3.0
204.0	1.0
205.0	5.0
206.0	2.0
207.0	4.0
208.0	3.0
209.0	6.0
210.0	4.0
211.0	3.0
213.0	3.0
214.0	4.0
215.0	2.0
216.0	3.0
217.0	4.0
218.0	4.0
219.0	1.0
220.0	4.0
221.0	2.0
222.0	1.0
223.0	3.0
224.0	1.0
225.0	3.0
226.0	1.0
227.0	7.0
228.0	4.0
229.0	3.0
230.0	8.0
231.0	6.0
232.0	5.0
233.0	6.0
234.0	4.0
235.0	5.0
236.0	5.0
237.0	4.0
238.0	2.0
239.0	1.0
240.0	2.0
242.0	1.0
243.0	2.0
244.0	1.0
245.0	5.0
246.0	1.0
247.0	1.0
248.0	2.0
250.0	3.0
251.0	1.0
252.0	1.0
254.0	1.0
256.0	2.0
257.0	2.0
258.0	1.0
259.0	2.0
260.0	1.0
261.0	2.0
263.0	5.0
264.0	2.0
266.0	1.0
267.0	4.0
268.0	1.0
269.0	2.0
270.0	2.0
272.0	2.0
273.0	4.0
274.0	1.0
275.0	4.0
276.0	4.0
278.0	1.0
279.0	2.0
280.0	3.0
282.0	2.0
283.0	3.0
284.0	3.0
285.0	2.0
286.0	2.0
287.0	4.0
288.0	3.0
289.0	2.0
290.0	3.0
291.0	1.0
292.0	4.0
293.0	1.0
294.0	4.0
295.0	6.0
297.0	2.0
298.0	5.0
299.0	5.0
300.0	3.0
301.0	1.0
302.0	2.0
303.0	1.0
304.0	1.0
305.0	4.0
306.0	7.0
307.0	2.0
308.0	2.0
309.0	2.0
310.0	1.0
311.0	1.0
312.0	3.0
313.0	1.0
315.0	1.0
317.0	4.0
318.0	1.0
319.0	5.0
320.0	2.0
321.0	6.0
322.0	5.0
323.0	2.0
324.0	1.0
325.0	1.0
326.0	2.0
328.0	4.0
329.0	1.0
330.0	5.0
331.0	1.0
334.0	1.0
335.0	1.0
336.0	1.0
339.0	4.0
340.0	2.0
341.0	1.0
342.0	5.0
343.0	2.0
344.0	2.0
345.0	1.0
348.0	3.0
350.0	1.0
351.0	2.0
352.0	1.0
353.0	5.0
354.0	1.0
355.0	1.0
