#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	3.979307600477517E-4
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	7.958615200955034E-4
35.0	0.0
36.0	3.979307600477517E-4
37.0	9.948269001193793E-4
38.0	7.958615200955034E-4
39.0	0.001193792280143255
40.0	0.0021886191802626344
41.0	0.0031834460803820135
42.0	0.0033824114604058893
43.0	0.003780342220453641
44.0	0.007560684440907283
45.0	0.00915240748109829
46.0	0.01532033426183844
47.0	0.021289295662554716
48.0	0.027457222443294866
49.0	0.03561480302427378
50.0	0.04934341424592121
51.0	0.0684440907282133
52.0	0.0650616792678074
53.0	0.07640270592916833
54.0	0.08734580183048149
55.0	0.09291683247115001
56.0	0.09848786311181855
57.0	0.088141663350577
58.0	0.07321925984878631
59.0	0.06068444090728213
60.0	0.042379625945085556
61.0	0.027656187823318742
62.0	0.01910067648229208
63.0	0.008356545961002786
64.0	0.00477516912057302
65.0	0.0019896538002387586
66.0	5.968961400716276E-4
67.0	5.968961400716276E-4
68.0	1.9896538002387584E-4
69.0	1.9896538002387584E-4
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	1.9896538002387584E-4
75.0	1.9896538002387584E-4
76.0	0.0
77.0	1.9896538002387584E-4
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
