#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	9.181050312155711E-6
23.0	9.181050312155711E-6
24.0	9.181050312155711E-6
25.0	2.7543150936467132E-5
26.0	2.7543150936467132E-5
27.0	9.181050312155711E-5
28.0	9.181050312155709E-5
29.0	2.2034520749173703E-4
30.0	2.846125596768271E-4
31.0	4.1314726404700696E-4
32.0	7.620271759089239E-4
33.0	0.0010650018362100624
34.0	0.0017535806096217407
35.0	0.0018362100624311423
36.0	0.0029930224017627616
37.0	0.0037458685273595296
38.0	0.004939405067939772
39.0	0.006298200514138819
40.0	0.008116048475945648
41.0	0.009520749173705472
42.0	0.011944546456114579
43.0	0.014349981637899377
44.0	0.017903048108703634
45.0	0.02148365773044436
46.0	0.02530297466030114
47.0	0.0302240176276166
48.0	0.03565919941241278
49.0	0.040084465662871833
50.0	0.04506059493206023
51.0	0.055894234300403974
52.0	0.05027543150936467
53.0	0.057519280205655526
54.0	0.060163422695556364
55.0	0.06108152772677194
56.0	0.06095299302240176
57.0	0.059484024972456855
58.0	0.05605031215571061
59.0	0.05174439955930959
60.0	0.045143224384869625
61.0	0.04007528461255968
62.0	0.032271391847227326
63.0	0.025615130370914427
64.0	0.019151670951156816
65.0	0.014662137348512669
66.0	0.009383033419023136
67.0	0.007096951891296365
68.0	0.004250826294528094
69.0	0.0023044436283510836
70.0	0.0012486228424531762
71.0	7.344840249724568E-4
72.0	4.039662137348513E-4
73.0	1.1935365405802423E-4
74.0	6.426735218508998E-5
75.0	3.6724201248622845E-5
76.0	9.181050312155711E-6
77.0	9.181050312155711E-6
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	9.181050312155711E-6
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.8362100624311422E-5
