#Coverage (X)	Coverage
1.0	97.3307043656713
2.0	96.70341774975422
3.0	95.74224734510065
4.0	94.44327662632952
5.0	92.86935358666521
6.0	91.02668959057928
7.0	88.99027997954839
8.0	86.81501730461663
9.0	84.57552973300618
10.0	82.21824042141813
11.0	79.87774933197234
12.0	77.5266407870013
13.0	75.16577152643211
14.0	72.82081315022353
15.0	70.51110350244461
16.0	68.25784689629133
17.0	66.03108803216935
18.0	63.86846227116247
19.0	61.767705372034726
20.0	59.74524838267391
21.0	57.77281888548539
22.0	55.849743727669306
23.0	53.98293802435161
24.0	52.164262746224765
25.0	50.39830757146971
26.0	48.68700016492244
27.0	47.04199830916256
28.0	45.45158302590139
29.0	43.92695312990044
30.0	42.4816940685753
31.0	41.08055711349632
32.0	39.72045188135499
33.0	38.42552007938308
34.0	37.17902468114741
35.0	35.95425375963488
36.0	34.75068715131832
37.0	33.60173771335501
38.0	32.4960230438562
39.0	31.4270563976595
40.0	30.389054780256913
41.0	29.377183730631174
42.0	28.38624161351055
43.0	27.435260294418683
44.0	26.516314929029818
45.0	25.631088399343625
46.0	24.781477772341574
47.0	23.956804396789323
48.0	23.16652300973962
49.0	22.400536319194387
50.0	21.6658512338432
51.0	20.952186874560738
